@id,@lat,@lon,name,place,population,addr:district,addr:region
291766093,52.3147960,34.2080080,Негино,village,371,Суземский район,Брянская область
336140274,52.4797000,36.5992000,Каменка,village,,Малоархангельский район,Орловская область
336140275,52.4901920,38.0518910,Чернава,village,,Измалковский район,Липецкая область
336140278,52.4641030,34.8153989,Лопандино,village,1369,Комаричский район,Брянская область
336140282,52.4472213,36.7977608,Верхососенье Первая Середина,village,,,
336140283,52.4955000,34.6575400,Аркино,village,451,Комаричский район,Брянская область
336140285,52.4575610,38.2610440,Свишни,village,,Долгоруковский муниципальный округ,Липецкая область
336140288,52.4521000,37.7797000,Козьминка,village,,Ливенский район,Орловская область
336140292,52.4380024,37.4867954,Крутое,village,,Ливенский район,Орловская область
336140297,52.4141880,38.3226280,Стегаловка,village,,Долгоруковский муниципальный округ,Липецкая область
336140299,52.4314199,35.9855461,Воронец,village,,Троснянский район,Орловская область
336140300,52.3896333,37.3865728,Речица,village,,Ливенский район,Орловская область
336140302,52.3710123,37.4501358,Коротыш,village,,Ливенский район,Орловская область
336140303,52.3969000,37.7195000,Успенское,village,,Ливенский район,Орловская область
336140310,52.3610587,37.6955027,Сергиевское,village,,Ливенский район,Орловская область
336140313,52.3423000,36.6503000,Губкино,village,,Малоархангельский район,Орловская область
336140316,52.3790327,36.3320809,Бузулук,village,,Малоархангельский район,Орловская область
336140323,52.3377632,37.6137641,Троицкое,village,,Ливенский район,Орловская область
336140326,52.3397656,37.7789845,Жерино,village,,Ливенский район,Орловская область
336140333,52.2118450,37.9505420,Гатище,village,,,
336140334,52.3217170,34.8789724,Хлебтово,hamlet,143,Комаричский район,Брянская область
336140341,52.2871661,37.8086747,Свободная Дубрава,village,,Ливенский район,Орловская область
336140343,52.2926020,37.6750777,Никольское,village,,Ливенский район,Орловская область
336140344,52.2891547,36.4074354,Березовецкие Выселки,hamlet,,Поныровский район,Курская область
336140345,52.2827990,37.9520990,Навесное,village,,Ливенский район,Орловская область
336140348,52.2750020,38.1940920,Дубовец,village,500,Долгоруковский муниципальный округ,Липецкая область
336140350,52.2166980,35.8346330,Верхний Любаж,village,,Фатежский район,Курская область
336140351,52.1686109,37.6110903,Студёное,village,,,
336140352,52.1978143,36.2271659,Верхнесмородино,village,,,
336140354,52.1902549,36.0057276,Хмелевое,village,,Фатежский район,Курская область
336140360,52.2337230,35.3633690,Михайловка,village,,Железногорский район,Курская область
336140363,52.1198008,38.3338476,Солдатское,village,,Тербунский муниципальный округ,Липецкая область
336140364,52.0241890,36.7225990,Букреевка,hamlet,,,
336140366,52.1298218,37.6461098,Вышнее Ольшаное,village,,,
336140377,51.9761920,38.1150630,Набережное,village,,Воловский район,Липецкая область
336140380,52.1421390,38.4716570,Бурдино,village,,Тербунский муниципальный округ,Липецкая область
336140386,52.0315210,36.2632940,Фёдоровка,hamlet,,,
336140389,52.1148796,37.5131826,Никольское,village,,,Орловская область
336140394,51.9549600,36.7826350,Малая Алексеевка,hamlet,,,
336140403,52.0347930,37.0522085,Осиновка,hamlet,,,
336140408,52.0294190,38.1884770,Урицкое,village,,Тербунский муниципальный округ,Липецкая область
336140411,52.0212780,37.8127210,Воловчик,village,,Воловский район,Липецкая область
336140414,51.9347690,36.6125680,Сидоровка,village,,Щигровский район,Курская область
336140415,52.0283838,37.8790391,Волово,village,3734,Воловский район,Липецкая область
336140417,51.9467683,36.3705108,Будановка,village,,Золотухинский район,Курская область
336140422,51.9315687,35.3573537,Яцено,hamlet,82,Конышёвский район,Курская область
336140428,51.9757960,36.3032720,Свобода,village,,,
336140435,51.9277268,37.6626333,Нижнее Гурово,hamlet,,,
336140445,51.8688262,37.5521200,имени Ленина,village,,,
